Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Position ,Area ,Well ,Parent Object ID (Well),Parent Trace ID,R01,strain
7391,1.0870906,1584656.1,2191.7788,2363264.0,3268.6917,41393656.0,57252.637,1,723,6,5,-1,1,1
9447,1.0295411,2204080.0,2146.1343,3185424.0,3101.6787,60369964.0,58782.828,1,1027,7,6,-1,1,1
10497,1.0263269,2262848.0,2140.8213,3313728.0,3135.0312,58601908.0,55441.73,1,1057,8,7,-1,1,1
11685,1.0858339,2351552.0,2009.8735,2990912.0,2556.335,64065060.0,54756.461,1,1170,8,7,-1,1,1
10922,1.1261772,1441711.9,2303.0542,2047856.0,3271.3354,35049588.0,55989.758,1,626,8,7,-1,1,1
11858,1.1507902,1059264.0,2418.4109,1291936.0,2949.6255,24835302.0,56701.602,1,438,8,7,-1,1,1
12132,1.0143107,3861664.0,2109.0464,4794096.0,2618.2939,106666180.0,58255.695,1,1831,8,7,-1,1,1
11201,1.0676919,2109280.0,1995.5345,3050048.0,2885.5706,58955512.0,55776.266,1,1057,8,7,-1,1,1
7273,1.0686214,2148864.0,2290.8999,3286192.0,3503.4031,51801960.0,55225.969,1,938,6,5,-1,1,1
11656,1.1299079,2296128.0,1967.5476,2975664.0,2549.8406,64387416.0,55173.449,1,1167,8,7,-1,1,1
10778,1.0702104,2069136.0,2319.6592,2571600.0,2882.9597,45945824.0,51508.77,1,892,8,7,-1,1,1
8046,1.0506762,2855088.0,2009.2104,3429648.0,2413.5454,79654048.0,56054.926,1,1421,6,5,-1,1,1
10116,1.1000967,1982384.0,2111.165,2809440.0,2991.949,56913144.0,60610.379,1,939,7,6,-1,1,1
10874,1.0901982,1562816.0,2329.085,2329408.0,3471.5469,38084004.0,56757.082,1,671,8,7,-1,1,1
11582,1.0864823,1461568.0,2396.0132,1942320.0,3184.1311,33541166.0,54985.52,1,610,8,7,-1,1,1
11607,1.0442456,2676480.0,1854.8025,2945456.0,2041.203,87588920.0,60699.18,1,1443,8,7,-1,1,1
12170,1.0599288,2432672.0,2108.0347,3267536.0,2831.4871,65589652.0,56836.785,1,1154,8,7,-1,1,1
10898,1.0885529,2294512.0,2170.7776,3316512.0,3137.665,62619952.0,59243.094,1,1057,8,7,-1,1,1
10535,1.0305447,2636815.8,2294.8789,2944864.0,2562.98,62540188.0,54430.102,1,1149,8,7,-1,1,1
8816,1.0319428,2617152.0,2244.5557,3032496.2,2600.7686,66702600.0,57206.348,1,1166,7,6,-1,1,1
10265,1.079958,1611872.0,2030.0656,2109680.0,2657.0276,41785196.0,52626.191,1,794,7,6,-1,1,1
9673,1.0254236,2198192.0,1994.7296,3101184.0,2814.1416,67182376.0,60964.043,1,1102,7,6,-1,1,1
12029,1.1353095,787440.0,1944.2963,943920.06,2330.6667,24977718.0,61673.379,1,405,8,7,-1,1,1
9836,1.0798828,2569872.0,2148.7224,3398480.2,2841.5386,69876056.0,58424.797,1,1196,7,6,-1,1,1
9659,1.0293999,1986560.0,2192.6711,2990544.0,3300.8213,50909728.0,56191.754,1,906,7,6,-1,1,1
7537,1.0653692,1501952.0,2103.5742,1933168.1,2707.5183,40172584.0,56264.121,1,714,6,5,-1,1,1
11258,1.0425048,2905072.0,2085.4788,4060144.0,2914.6763,81978656.0,58850.437,1,1393,8,7,-1,1,1
11698,1.0786528,1865488.0,2164.1392,2508288.0,2909.8469,49702176.0,57659.137,1,862,8,7,-1,1,1
7114,1.1161803,1157024.0,2092.2676,1416032.0,2560.6365,30806464.0,55707.891,1,553,6,5,-1,1,1
12055,1.0449933,2795040.0,2135.2483,3304399.8,2524.3696,71179216.0,54376.789,1,1309,8,7,-1,1,1
8016,1.1004892,837631.94,2078.4912,970528.0,2408.2581,22228202.0,55156.828,1,403,6,5,-1,1,1
9172,1.0573942,1594000.0,2020.2788,2160544.0,2738.332,44525568.0,56432.914,1,789,7,6,-1,1,1
10702,1.0441774,3612783.8,2317.3726,4782240.0,3067.5049,84950944.0,54490.664,1,1559,8,7,-1,1,1
10579,1.0270469,3195312.0,2185.5759,4368784.0,2988.2244,82830184.0,56655.395,1,1462,8,7,-1,1,1
8531,1.0613189,2042704.0,2067.5142,2451376.0,2481.1499,51362652.0,51986.488,1,988,6,5,-1,1,1
10443,1.0930326,2083648.0,2081.5664,2834800.0,2831.968,54345248.0,54290.957,1,1001,8,7,-1,1,1
8773,1.0605336,1785952.0,1949.7292,2037456.0,2224.2969,53333452.0,58224.293,1,916,6,5,-1,1,1
8041,1.0245828,1981504.0,1829.6436,2380960.0,2198.4856,65913212.0,60861.691,1,1083,6,5,-1,1,1
7324,1.058954,2888864.0,1993.6949,3427136.2,2365.1733,81654592.0,56352.375,1,1449,6,5,-1,1,1
9269,1.0314769,3323984.0,1875.8375,4142880.2,2337.9685,101654570.0,57367.137,1,1772,7,6,-1,1,1
10524,1.0287183,2235232.0,2191.4038,3026240.0,2966.9019,58709100.0,57557.941,1,1020,8,7,-1,1,1
8209,1.061789,2038671.9,2277.8457,3010624.0,3363.8257,50223248.0,56115.359,1,895,6,5,-1,1,1
8383,1.0385173,1123472.0,2269.6404,1256736.0,2538.8606,26423184.0,53380.168,1,495,6,5,-1,1,1
7179,1.0458134,3036944.2,2060.342,4160592.0,2822.6541,85462872.0,57980.238,1,1474,6,5,-1,1,1
9574,1.0571181,2025103.9,2191.6709,2859312.0,3094.4934,52664452.0,56996.16,1,924,7,6,-1,1,1
7311,1.0430682,2011311.9,2117.1704,2922464.0,3076.2778,56092676.0,59044.922,1,950,6,5,-1,1,1
8636,1.0735774,1931280.0,2212.2336,2249280.0,2576.4949,48263604.0,55284.77,1,873,6,5,-1,1,1
10423,1.0438153,2315296.0,2176.03,2924144.0,2748.2556,59562776.0,55980.051,1,1064,8,7,-1,1,1
9199,1.033984,2645600.0,2013.3942,4222352.0,3213.3577,73075360.0,55612.906,1,1314,7,6,-1,1,1
8020,1.0443517,1674352.0,1846.0331,2031536.1,2239.8413,55391804.0,61071.449,1,907,6,5,-1,1,1
11944,1.0329312,2653056.0,2025.2336,3626895.8,2768.6228,77393752.0,59079.199,1,1310,8,7,-1,1,1
11855,1.0679102,1219024.0,2228.563,1744992.0,3190.1133,30812392.0,56329.785,1,547,8,7,-1,1,1
10791,1.0337492,2754784.0,2086.9575,3432640.0,2600.4849,73640936.0,55788.59,1,1320,8,7,-1,1,1
8158,1.0447121,991856.06,2110.332,1446064.0,3076.7319,26656912.0,56716.836,1,470,6,5,-1,1,1
10373,1.0305538,3687616.0,2058.9705,4568240.0,2550.6646,100584120.0,56160.871,1,1791,8,7,-1,1,1
9193,1.0380996,2377456.0,1783.5378,2563856.0,1923.3728,77359200.0,58033.906,1,1333,7,6,-1,1,1
8886,1.074757,1797920.0,2120.1887,2268784.0,2675.4529,47587496.0,56117.328,1,848,7,6,-1,1,1
11588,1.0812308,1806512.0,1764.1719,2047504.0,1999.5156,60700452.0,59277.785,1,1024,8,7,-1,1,1
11389,1.0407312,1646656.0,1827.5872,2022816.0,2245.0789,50644480.0,56209.191,1,901,8,7,-1,1,1
9922,1.0372948,2472800.0,2266.5444,3414304.0,3129.5178,63632396.0,58324.836,1,1091,7,6,-1,1,1
10266,1.0182636,4392176.0,1937.4398,5487392.0,2420.5522,127427340.0,56209.68,1,2267,7,6,-1,1,1
10637,1.06427,1599264.0,2126.6809,2062640.0,2742.8723,42184840.0,56096.863,1,752,8,7,-1,1,1
10544,1.0486596,1820288.1,2099.5249,2599888.0,2998.7175,48889552.0,56389.332,1,867,8,7,-1,1,1
8818,1.1315486,2137760.0,1913.8407,2394208.0,2143.427,58718612.0,52568.141,1,1117,7,6,-1,1,1
9311,1.0489427,2214240.0,2172.9539,3282896.0,3221.6841,56686216.0,55629.262,1,1019,7,6,-1,1,1
12143,1.0404048,2494832.0,2156.2939,2951952.0,2551.3845,64263468.0,55543.187,1,1157,8,7,-1,1,1
10381,1.0345761,1441040.1,2073.439,2455376.0,3532.915,39238884.0,56458.824,1,695,8,7,-1,1,1
8651,1.1187858,2301968.0,2042.5625,2604640.0,2311.127,65295692.0,57937.613,1,1127,6,5,-1,1,1
11794,1.1453867,956864.0,2472.5168,1395920.0,3607.0283,21058538.0,54414.828,1,387,8,7,-1,1,1
9335,1.1004272,1701136.0,2217.9087,2298512.0,2996.7561,44055532.0,57438.766,1,767,7,6,-1,1,1
7755,1.0701706,1978192.0,2086.7004,2891504.0,3050.1096,50721952.0,53504.168,1,948,6,5,-1,1,1
7773,1.0444803,1750592.0,2147.9656,2182752.0,2678.2234,45742328.0,56125.555,1,815,6,5,-1,1,1
10175,1.0212759,3693184.0,2199.6331,4417968.0,2631.3091,97905480.0,58311.781,1,1679,7,6,-1,1,1
8945,1.1183102,1607519.9,2126.3491,1902832.1,2516.9736,41654224.0,55098.18,1,756,7,6,-1,1,1
7177,1.0361484,2197136.0,2151.9451,3069456.0,3006.3232,57083856.0,55909.75,1,1021,6,5,-1,1,1
10121,1.1652112,1190672.0,1964.8053,1472032.0,2429.0957,34834596.0,57482.832,1,606,7,6,-1,1,1
11939,1.016062,3181968.0,1842.4829,3740368.0,2165.8181,101621850.0,58842.992,1,1727,8,7,-1,1,1
9300,1.0296046,2190208.0,2225.821,2960176.0,3008.3088,55085808.0,55981.512,1,984,7,6,-1,1,1
10682,1.0571458,1988672.1,2221.98,2544688.0,2843.2268,50933812.0,56909.285,1,895,8,7,-1,1,1
10289,1.0716337,1521072.0,2009.3422,2157344.0,2849.8599,41406660.0,54698.363,1,757,7,6,-1,1,1
10693,1.0984471,2622096.0,2156.3289,3806704.0,3130.5132,66677108.0,54833.148,1,1216,8,7,-1,1,1
9847,1.090524,1100576.0,2241.499,1682368.0,3426.4114,26722656.0,54424.961,1,491,7,6,-1,1,1
8133,1.0621409,1843680.0,2019.3647,2469776.0,2705.1216,51558052.0,56471.031,1,913,6,5,-1,1,1
10120,1.0746425,2815632.0,2287.2722,3849776.0,3127.3567,70358328.0,57155.422,1,1231,7,6,-1,1,1
11233,1.035927,1441552.0,1834.0356,1827008.1,2324.4377,47091280.0,59912.57,1,786,8,7,-1,1,1
9966,1.0370991,879040.0,2044.2791,1204992.0,2802.3069,22681782.0,52748.332,1,430,7,6,-1,1,1
11440,1.1335478,1943919.9,2305.9548,2989136.0,3545.8315,47052332.0,55815.34,1,843,8,7,-1,1,1
7113,1.0677136,770432.0,2194.9629,1002160.0,2855.1567,19017998.0,54182.332,1,351,6,5,-1,1,1
7728,1.08388,2170416.0,2034.1294,2853728.0,2674.5342,56768496.0,53203.84,1,1067,6,5,-1,1,1
9045,1.0545928,4475072.0,2061.2952,5695152.0,2623.2852,121162000.0,55809.305,1,2171,7,6,-1,1,1
11086,1.1082867,1388543.9,2063.2153,2148272.0,3192.0833,37892600.0,56304.012,1,673,8,7,-1,1,1
7969,1.0336152,2098992.0,1837.9965,2591552.0,2269.3101,68854184.0,60292.629,1,1142,6,5,-1,1,1
10882,1.0900274,1542496.0,1977.559,1912176.1,2451.5078,46785868.0,59981.883,1,780,8,7,-1,1,1
7173,1.0539794,2442128.0,2182.4199,3516400.2,3142.4487,60930152.0,54450.539,1,1119,6,5,-1,1,1
8578,1.0439191,1606976.0,2213.4656,2101888.0,2895.1626,41508444.0,57174.164,1,726,6,5,-1,1,1
9287,1.0309498,3156560.2,2192.0557,3936640.0,2733.7778,84640800.0,58778.332,1,1440,7,6,-1,1,1
10123,1.052194,2363936.0,2152.9473,2870448.0,2614.2515,61624036.0,56123.895,1,1098,7,6,-1,1,1
9951,1.0297412,1903599.9,2049.085,2691744.0,2897.4639,54097472.0,58231.941,1,929,7,6,-1,1,1
11693,1.0204737,2918480.0,2165.0444,3376432.0,2504.7715,77616088.0,57578.703,1,1348,8,7,-1,1,1
7223,1.1163866,1602448.1,2125.2627,2228208.0,2955.1831,39640060.0,52573.023,1,754,6,5,-1,1,1
10162,1.0796786,2628832.2,2081.4189,3537120.0,2800.5701,69051472.0,54672.582,1,1263,7,6,-1,1,1
7322,1.0499448,3338384.0,1916.4087,4267312.0,2449.6624,96378920.0,55326.59,1,1742,6,5,-1,1,1
7681,1.0426784,2227120.0,1981.4235,3396848.0,3022.1067,63793672.0,56755.937,1,1124,6,5,-1,1,1
11110,1.0346506,2502800.0,1751.4346,2644208.0,1850.3905,82669592.0,57851.359,1,1429,8,7,-1,1,1
11079,1.0212733,2056224.0,1960.1754,2611072.0,2489.1057,54076132.0,51550.172,1,1049,8,7,-1,1,1
9065,1.0690814,1967391.9,2145.4656,3124240.0,3407.0229,52789068.0,57567.141,1,917,7,6,-1,1,1
10409,1.0169385,2359184.0,2315.1953,3189104.0,3129.6409,57657568.0,56582.5,1,1019,8,7,-1,1,1
10664,1.1177568,1180448.0,2169.9412,1492160.0,2742.9412,30390656.0,55865.176,1,544,8,7,-1,1,1
11392,1.0355341,2046208.1,1835.1642,2575472.0,2309.8403,65379776.0,58636.57,1,1115,8,7,-1,1,1
8754,1.1455643,1358912.0,2106.8403,1630288.0,2527.5784,34552080.0,53569.117,1,645,6,5,-1,1,1
8255,1.1247792,1934959.9,2080.6021,2583856.0,2778.3398,46867888.0,50395.578,1,930,6,5,-1,1,1
7517,1.0335158,2850480.0,2152.9304,3790224.0,2862.707,76505104.0,57783.312,1,1324,6,5,-1,1,1
8122,1.0858809,1670592.0,2189.5046,2124288.0,2784.1257,43598140.0,57140.422,1,763,6,5,-1,1,1
8760,1.0647941,1759648.0,2004.1549,2357184.0,2684.7197,47917180.0,54575.375,1,878,6,5,-1,1,1
10331,1.0453698,2713728.0,1935.6119,3161136.0,2254.7332,77058880.0,54963.535,1,1402,7,6,-1,1,1
11083,1.0524895,2138144.0,2133.8762,2715216.0,2709.7964,52145336.0,52041.254,1,1002,8,7,-1,1,1
9690,1.0431378,2116432.0,2270.8499,3340384.0,3584.103,53273652.0,57160.57,1,932,7,6,-1,1,1
9884,1.1091002,1094160.0,2265.3416,1606448.0,3325.9792,25968952.0,53765.945,1,483,7,6,-1,1,1
7075,1.0242108,1693215.9,2067.4187,2127136.0,2597.2356,43507104.0,53122.227,1,819,6,5,-1,1,1
8596,1.0977153,1475600.0,2058.0195,1883887.9,2627.4587,43805396.0,61095.395,1,717,6,5,-1,1,1
11255,1.0756241,2389888.0,2128.1282,3367504.2,2998.668,62745280.0,55872.91,1,1123,8,7,-1,1,1
10237,1.0376924,1741328.0,2015.4259,2243440.0,2596.574,50065336.0,57945.992,1,864,7,6,-1,1,1
10209,1.0604336,3496816.0,2103.9807,4060143.8,2442.9265,96630392.0,58141.031,1,1662,7,6,-1,1,1
7882,1.1126575,1762032.1,2159.353,2729264.0,3344.6863,42357920.0,51909.215,1,816,6,5,-1,1,1
8398,1.0515228,1885008.0,1935.3265,2336864.0,2399.2444,52610716.0,54015.109,1,974,6,5,-1,1,1
10141,1.0541661,1923696.0,2064.0515,2378336.0,2551.8625,51076580.0,54803.195,1,932,7,6,-1,1,1
8702,1.0506786,1325792.0,1885.9061,1568528.1,2231.1921,40318408.0,57351.934,1,703,6,5,-1,1,1
7256,1.0399122,2147584.0,2126.3208,2715232.0,2688.3486,54570864.0,54030.559,1,1010,6,5,-1,1,1
11838,1.0574472,1911424.0,1907.6088,2266432.0,2261.9082,59805676.0,59686.305,1,1002,8,7,-1,1,1
10297,1.0589114,1340992.0,1857.3296,1412624.0,1956.543,42093948.0,58301.867,1,722,7,6,-1,1,1
7460,1.0532021,2388944.0,2110.3745,3085104.0,2725.3569,65559108.0,57914.406,1,1132,6,5,-1,1,1
12016,1.0809475,1414944.0,1818.6941,1470432.0,1890.0154,43461924.0,55863.656,1,778,8,7,-1,1,1
10905,1.0220003,2112096.0,1872.4255,2463840.0,2184.2554,68216648.0,60475.754,1,1128,8,7,-1,1,1
